node_id,phase,year,age,age_usage
1,pickup,2003,0,1
1,pickup,2003,5,0.403056597
1,pickup,2003,10,0.364290677
1,pickup,2003,15,0.264290677
1,pickup,2008,0,1
1,pickup,2008,5,0.403056597
1,pickup,2008,10,0.364290677
1,pickup,2008,15,0.264290677
1,pickup,2014,0,1
1,pickup,2014,5,0.403056597
1,pickup,2014,10,0.364290677
1,pickup,2014,15,0.264290677
1,pickup,2016,0,1
1,pickup,2016,5,0.403056597
1,pickup,2016,10,0.364290677
1,pickup,2016,15,0.264290677
1,pickup,2019,0,1
1,pickup,2019,5,0.403056597
1,pickup,2019,10,0.364290677
1,pickup,2019,15,0.264290677
1,pickup,2022,0,1
1,pickup,2022,5,0.403056597
1,pickup,2022,10,0.364290677
1,pickup,2022,15,0.264290677
1,pickup,2024,0,1
1,pickup,2024,5,0.403056597
1,pickup,2024,10,0.364290677
1,pickup,2024,15,0.264290677